ID,Date,Day of week,Time of day,Platform,Video or Image?,Views (in thousands),Likes,Comments,Shares,Saves/Bookmarks,Keywords,Hashtags,Mentions,Food Tok,Dorm Tok,Beauty,Original Aud,Male Viewers,Female Viewers,Video Duration (s),Avg View Time (s),New Followers,Aged 18-24 %,25-34 %,35-44 % ,45-54 %,55+ %,New Viewers %,Non Followers %
30,3/22/2024,Friday,16:27,TikTok,Video,5.0,283,2,16,5,"day in the life, study abroad",#washu #studyabroad #college #collegestudent,,no,no,y,y,0.27,0.72,111,13.4,5,0.67,0.19,0.05,0.06,0.02,0.19,0.58
31,3/25/2024,Monday,15:11,TikTok,Video,4.2,121,3,18,4,a cappella,#fyp #acapella #singing #guesswhossinging #justintimberlake #pitchperfect #mirrors #college #washu,Sensasians,no,no,n,y,0.31,0.68,36.47,8,4,0.67,0.2,0.05,0.05,0.02,0.19,0.6
32,3/26/2024,Tuesday,11:04,TikTok,Video,3.9,235,0,17,5,mascot,#fyp #washu #mascot #core #trending #hope #campus #hopecore #family #university #college,,no,no,y,n,0.29,0.7,18.44,5.4,4,0.66,0.19,0.05,0.06,0.02,0.2,0.61
33,3/27/2024,Wednesday,13:10,TikTok,Video,6.6,530,9,91,13,tiny mic,#whatsongareyoulisteningto #tinymic #washu #singing #college #collegelife,,no,no,n,y,0.24,0.75,58.5,15.2,8,0.71,0.18,0.04,0.04,0.02,0.12,0.64
34,3/27/2024,Wednesday,19:44,TikTok,Video,3.0,122,7,52,5,commencement,#WashU24 #WashU #Wustl #JenniferCoolidge #Classof2024 #WhiteLotus #LegallyBlonde,Jennifer Coolidge,no,no,n,n,0.26,0.73,68.78,6.2,3,0.63,0.22,0.05,0.06,0.02,0.25,0.63
35,3/29/2024,Friday,17:32,TikTok,Video,8.2,196,2,2,1,asl,#asl #americansignlanguage #washu #favoriteclass #tour #college #collegestudent,,no,no,n,n,0.18,0.81,5.5,5.4,2,0.72,0.2,0.03,0.03,0.02,0.2,0.78
36,4/1/2024,Monday,17:46,TikTok,Video,11.0,893,5,39,12,anime,#study #notes #washu #lecture #campus #college #collegelife #stem #jjk #fyp #anime,,no,no,n,n,0.2475,0.7426,12,7.6,7,0.76,0.16,0.03,0.03,0.02,0.22,0.79
37,4/2/2024,Tuesday,17:49,TikTok,Video,6.2,252,4,6,3,who ate,#washu #wustl #college #whoatallthe #gooeybutterbar #sweettreat #collegelife,,yes,no,n,y,0.34,0.65,27,9.3,2,0.67,0.2,0.05,0.05,0.02,0.16,0.68
38,4/3/2024,Wednesday,17:27,TikTok,Video,7.8,338,2,11,6,professors please,#washu #collegelife #relatable #professor #campus #fyp,,no,no,n,y,0.24,0.75,15,8.3,1,0.72,0.18,0.04,0.04,0.02,0.17,0.74
39,4/5/2024,Friday,9:44,TikTok,Video,4.2,157,4,40,7,"day in the life, research",#research #politicalscience #washu,,no,no,n,y,0.29,0.7,60,12.8,3,0.68,0.2,0.04,0.05,0.02,0.2,0.6
40,4/5/2024,Friday,16:48,TikTok,Video,6.1,288,1,5,13,study spot,#washu #wustl #study #studyspot #campus,,no,no,y,n,0.27,0.72,8.17,5.3,4,0.71,0.18,0.04,0.04,0.02,0.14,0.68
41,4/8/2024,Monday,13:13,TikTok,Video,3.3,236,1,21,8,"forest park, green",#spring #forestpark #stl #stlouis #tulips #washu #wustl,,no,no,y,n,0.26,0.73,26.75,5.5,4,0.65,0.2,0.06,0.06,0.02,0.17,0.55
